village,room,size,direction,price,age,area,position,id
北京华侨城2号院,1室1厅,57,南,8000,2006年建板楼,朝阳,欢乐谷,101103000000
壹线国际,2室1厅,84,南,8000,2008年建板楼,朝阳,四惠,101103000000
金星园,1室1厅,44,南,8000,2004年建板塔结合,朝阳,三元桥,101103000000
润泽悦溪,2室1厅,89,南 北,8000,2010年建板楼,朝阳,北苑,101103000000
乐想汇,1房间1卫,98,南 西,8000,2013年建塔楼,朝阳,北苑,101103000000
乐想汇,1房间1卫,98,南 西,8000,2013年建塔楼,朝阳,北苑,101103000000
芍药居甲2号院,2室2厅,108,东北,8100,1998年建塔楼,朝阳,芍药居,101103000000
美利山,2室1厅,65,西,8130,2009年建板塔结合,朝阳,百子湾,BJ0004400601
晨光家园,2室1厅,78,南,8160,1999年建塔楼,朝阳,石佛营,BJ0004394789
华贸城,2室1厅,67,南 北,8200,2012年建板塔结合,朝阳,北苑,101103000000
中国铁建国际城,2室2厅,77,南,8200,2011年建板楼,朝阳,北苑,101103000000
农光里,3室1厅,96,南 北,8200,1996年建塔楼,朝阳,劲松,101103000000
润泽悦溪,2室1厅,88,南,8220,2010年建板楼,朝阳,北苑,BJ0004343879
安外北苑1号院,2室1厅,80,南 北,8300,1993年建板楼,朝阳,北苑,101103000000
天居园,2室1厅,68,北,8360,2008年建塔楼,朝阳,奥林匹克公园,BJ0004350988
晨光家园,2室1厅,78,东,8490,2000年建塔楼,朝阳,石佛营,BJ0004398289
天居园,2室1厅,88,西,8490,2008年建塔楼,朝阳,奥林匹克公园,BJ0004397320
核桃园北里,2室1厅,65,南 北,8500,1995年建板楼,朝阳,东大桥,101103000000
澳林春天三期,2室1厅,83,南 北,8500,2002年建板楼,朝阳,奥林匹克公园,101103000000
潘家园小区,3室1厅,93,西南,8500,1999年建塔楼,朝阳,潘家园,101103000000
远洋一方润园2号院,3室2厅,139,南 北,8500,2010年建板楼,朝阳,双桥,101103000000
国美第一城2号院,2室1厅,100,西南,8500,2006年建板塔结合,朝阳,朝青,101103000000
CBD总部公寓一期,2室1厅,73,东 西,8500,2004年建板塔结合,朝阳,双井,101103000000
泰华滨河苑,2室1厅,99,东南,8500,2005年建板楼,朝阳,朝阳公园,101103000000
华贸城,2室1厅,66,南 北,8500,2011年建板塔结合,朝阳,北苑,101103000000
市场街,2室1厅,65,东 西北,8500,1993年建塔楼,朝阳,朝阳门外,101103000000
美利山,2室1厅,71,东北,8500,2009年建板塔结合,朝阳,百子湾,101103000000
阳光100,1室0厅,54,北,8500,2002年建塔楼,朝阳,CBD,101103000000
城市绿洲花园,3室1厅,121,南 北,8500,2005年建板塔结合,朝阳,北苑,101103000000
尚家楼48号院,2室1厅,71,南 北,8500,1997年建板塔结合,朝阳,三元桥,101103000000
朝阳园,2室1厅,93,东,8500,2003年建塔楼,朝阳,甘露园,101103000000
中国铁建国际城,2室2厅,80,南,8500,2011年建板楼,朝阳,北苑,101103000000
和平街十五区2号院,2室1厅,75,西,8560,1997年建塔楼,朝阳,和平里,BJ0004275432
风度柏林,2室1厅,88,东,8560,2007年建塔楼,朝阳,大望路,BJ0004392520
双花园西里,2室1厅,90,南 北,8600,1999年建板楼,朝阳,双井,101103000000
润泽公馆,2室2厅,87,南 北,8600,2014年建板楼,朝阳,北苑,101103000000
力源里,2室1厅,106,西南,8690,1999年建板塔结合,朝阳,四惠,BJ0004393897
国美第一城2号院,2室1厅,96,南,8700,2006年建板塔结合,朝阳,朝青,101103000000
半岛国际公寓,1室1厅,48,北,8790,2005年建板塔结合,朝阳,太阳宫,BJ0004402104
天鹅湾北区,1室1厅,38,东,8800,2007年建塔楼,朝阳,朝青,101103000000
大成国际,1室1厅,42,北,8830,2007年建板塔结合,朝阳,百子湾,BJ0004277605
山水蓝维,2室1厅,96,南,8830,2004年建板楼,朝阳,北苑,BJ0004392847
首开知语城,2室1厅,89,西南,8830,2009年建塔楼,朝阳,望京,BJ0004383699
麦子店街,2室1厅,69,南 北,9000,1990年建塔楼,朝阳,农展馆,101103000000
林奥嘉园,2室1厅,126,南 北,9000,2015年建板楼,朝阳,奥林匹克公园,101103000000
锦绣馨园,2室1厅,103,西,9000,2000年建塔楼,朝阳,亚运村小营,101103000000
中海城北区,3室1厅,110,西南,9000,2006年建板楼,朝阳,成寿寺,101103000000
合生国际花园,1室1厅,61,西,9000,2008年建板楼,朝阳,双井,101103000000
朝阳园,2室2厅,108,西南,9000,1999年建塔楼,朝阳,甘露园,101103000000
九龙花园,2室1厅,104,西北,9000,2001年建塔楼,朝阳,双井,101103000000
呼家楼北里,2室1厅,67,南,9030,1964年建板楼,朝阳,红庙,BJ0004397883
朝阳无限,3室1厅,115,东,9200,2003年建塔楼,朝阳,甘露园,101103000000
燕莎后,2室2厅,93,南,9200,2005年建板楼,朝阳,酒仙桥,101103000000
丽都壹号,1室1厅,41,西,9390,2011年建塔楼,朝阳,酒仙桥,BJ0004403837
非常生活,2室1厅,82,南,9460,2004年建塔楼,朝阳,双井,BJ0004397400
京师园,2室1厅,90,南 北,9500,2004年建板塔结合,朝阳,奥林匹克公园,101103000000
方舟苑二期,2室1厅,95,南,9500,2001年建塔楼,朝阳,望京,101103000000
筑华年,3室2厅,97,南 北,9500,2012年建板楼,朝阳,北苑,101103000000
兴隆家园,3室1厅,134,西 北,9500,2002年建塔楼,朝阳,高碑店,101103000000
安贞西里,3室1厅,76,南 西 北,9500,1986年建塔楼,朝阳,安贞,101103000000
爱这城一期,2室1厅,106,西北,9500,2006年建塔楼,朝阳,十里堡,101103000000
金茂府东区,1房间1卫,51,南,9500,2013年建板楼,朝阳,大望路,101103000000
澳林春天五期,2室1厅,109,南,9500,2005年建塔楼,朝阳,奥林匹克公园,101103000000
阳光100,1室1厅,53,北,9500,2002年建塔楼,朝阳,CBD,101103000000
丽都壹号,1室1厅,42,东,9590,2011年建塔楼,朝阳,酒仙桥,BJ0004399607
方舟苑二期,2室1厅,89,东,9800,2001年建塔楼,朝阳,望京,101103000000
CBD传奇,2室1厅,95,南 北,9800,2007年建板塔结合,朝阳,大望路,101103000000
方舟苑三期,2室1厅,105,东北,10000,2004年建塔楼,朝阳,望京,101103000000
首城国际,2室1厅,89,西南,10460,2010年建板塔结合,朝阳,双井,BJ0004316477
富力城C区,1室1厅,63,北,10500,2005年建板塔结合,朝阳,双井,101103000000
天润福熙大道,2室1厅,121,南,10500,2014年建板楼,朝阳,北苑,101103000000
左家庄东里,3室2厅,146,东南,10500,1995年建板楼,朝阳,国展,101103000000
华腾园,3室2厅,109,西北,10500,2003年建塔楼,朝阳,劲松,101103000000
东方瑞景,1室1厅,87,东,10500,2004年建塔楼,朝阳,建国门外,101103000000
首城国际,2室1厅,91,西,10660,2010年建板塔结合,朝阳,双井,BJ0004275272
首城国际,2室1厅,89,西南,10860,2010年建板塔结合,朝阳,双井,BJ0004393592
天润福熙大道,2室1厅,107,南,11000,2011年建板楼,朝阳,北苑,101103000000
金地名京,2室1厅,85,南,11000,2009年建板楼,朝阳,四惠,101103000000
白领家园,3室2厅,137,南 北,11000,2004年建板楼,朝阳,甘露园,101103000000
富力城A区,1室1厅,58,西,11000,2004年建板塔结合,朝阳,双井,101103000000
日坛国际公寓,1室1厅,71,东,11000,2007年建塔楼,朝阳,朝阳门外,101103000000
安慧东里,3室1厅,108,东南,11200,2000年建,朝阳,亚运村小营,101103000000
美景东方,2室2厅,131,南 北,11500,2008年建板塔结合,朝阳,华威桥,101103000000
和谐雅园,3室2厅,111,东南,11500,2008年建板塔结合,朝阳,劲松,101103000000
罗马花园,2室2厅,141,西南,11500,1995年建塔楼,朝阳,惠新西街,101103000000
后现代城,2室1厅,115,南,11888,2007年建塔楼,朝阳,大望路,101103000000
富力城A区,2室1厅,85,南,11990,2004年建板塔结合,朝阳,双井,BJ0004400863
世桥国贸,2室1厅,115,西,11990,2002年建板楼,朝阳,双井,BJ0004396890
首城国际,2室1厅,87,南,12000,2011年建塔楼,朝阳,双井,101103000000
大西洋新城A区,3室1厅,107,南 北,12000,1999年建板楼,朝阳,望京,101102000000
奥东18,1室1厅,86,西,12000,2008年建板塔结合,朝阳,惠新西街,101103000000
和谐雅园,3室1厅,110,东 西,12000,2008年建板塔结合,朝阳,劲松,101103000000
青年汇佳园,3室2厅,121,东南,12000,2006年建板楼,朝阳,朝青,101103000000
东润枫景二期,3室1厅,145,南 北,12000,2001年建板楼,朝阳,朝阳公园,101103000000
华发颐园,3室2厅,137,南 北,12000,2007年建板楼,朝阳,北苑,101103000000
富力城D区,1室1厅,86,东北,12000,2005年建板塔结合,朝阳,双井,101103000000
光熙家园一期,2室1厅,98,西南,12300,2006年建塔楼,朝阳,西坝河,101103000000
珠江帝景,2室1厅,116,南,12490,2004年建塔楼,朝阳,大望路,BJ0004393593
丽都壹号,2室1厅,89,西南,12500,2013年建板楼,朝阳,酒仙桥,101103000000
首城国际,2室1厅,86,西南,12500,2010年建板塔结合,朝阳,双井,101103000000
卧龙小区,2室2厅,155,西南,12500,1996年建塔楼,朝阳,亚运村,101103000000
华贸国际公寓,1室0厅,66,西,12500,2005年建塔楼,朝阳,红庙,101103000000
风度柏林,2室1厅,102,东 西,12500,2004年建板塔结合,朝阳,大望路,101103000000
富力城A区,2室1厅,84,东南 北,13000,2004年建板塔结合,朝阳,双井,101103000000
东岸,3室2厅,133,南 北,13000,2006年建板塔结合,朝阳,石佛营,101103000000
劲松南路,3室2厅,183,南 西,13000,1998年建塔楼,朝阳,劲松,101103000000
融科橄榄城二期,2室1厅,100,南,13000,2007年建板楼,朝阳,望京,101103000000
罗马花园,2室1厅,144,东南,13000,1995年建塔楼,朝阳,惠新西街,101103000000
都会华庭,3室2厅,145,东南 北,13000,2007年建板塔结合,朝阳,十里堡,101103000000
后现代城,3室1厅,102,东北,13000,2007年建塔楼,朝阳,大望路,101103000000
富力城A区,2室1厅,89,东南 北,13000,2004年建板塔结合,朝阳,双井,101103000000
富力城A区,2室1厅,89,东南 北,13000,2004年建板塔结合,朝阳,双井,101103000000
都会华庭,3室1厅,128,南,13200,2001年建塔楼,朝阳,十里堡,101103000000
中海紫荆豪庭,2室1厅,109,西北,13500,2000年建塔楼,朝阳,团结湖,101103000000
天鹅湾南区,2室1厅,87,西北,13500,2009年建板塔结合,朝阳,朝青,101103000000
国典华园,2室2厅,112,东南,13500,2003年建塔楼,朝阳,安贞,101103000000
华远九都汇,2房间1卫,68,西,13500,2011年建板楼,朝阳,燕莎,101103000000
星城国际,2室1厅,128,西北,13500,2002年建塔楼,朝阳,酒仙桥,101103000000
首城国际,3房间2卫,63,西,13800,2012年建板塔结合,朝阳,双井,101103000000
望京新城,3室1厅,128,西北,13800,1997年建板塔结合,朝阳,望京,101103000000
富力城A区,2室2厅,84,北,13900,2004年建板塔结合,朝阳,双井,101103000000
天鹅湾北区,2室1厅,112,南,14000,2008年建板塔结合,朝阳,朝青,101103000000
和乔丽致公寓,1室1厅,60,南,14000,2004年建塔楼,朝阳,CBD,101103000000
美景东方,3室2厅,153,南 北,14000,2008年建板塔结合,朝阳,华威桥,101103000000
远洋万和城A区,2室2厅,91,南 北,14000,2010年建板塔结合,朝阳,亚运村小营,101103000000
金茂府东区,3房间1卫,80,南,14500,2013年建板楼,朝阳,大望路,101103000000
凯德锦绣,2室1厅,88,南 北,14500,2012年建板楼,朝阳,四惠,101103000000
乐澜宝邸,3室2厅,151,东 南,14500,2003年建板塔结合,朝阳,劲松,101103000000
爱这城二期,3室2厅,153,南 北,14800,2008年建板楼,朝阳,十里堡,101103000000
瞰都国际,2室1厅,167,东南,15000,2006年建塔楼,朝阳,朝阳公园,101103000000
丽都东镇,3室2厅,158,南 北,15000,2009年建板楼,朝阳,酒仙桥,101103000000
美景东方,3室2厅,158,南 北,15000,2008年建板塔结合,朝阳,华威桥,101103000000
珠江帝景博悦,3室1厅,149,南 北,15000,2008年建板楼,朝阳,大望路,101103000000
天鹅湾南区,3室1厅,136,南 北,15000,2009年建板塔结合,朝阳,朝青,101103000000
富力城E区,1室1厅,95,北,15000,2007年建板塔结合,朝阳,双井,101103000000
珊瑚湾,3室1厅,138,东南 西北,15000,2007年建板塔结合,朝阳,十里堡,101103000000
阳光上东,1室1厅,89,西 北,15500,2005年建塔楼,朝阳,酒仙桥,101103000000
富力城D区,2室2厅,108,西南,15600,2006年建板塔结合,朝阳,双井,101103000000
亚奥观典,3室1厅,161,西南,16000,2008年建塔楼,朝阳,亚运村,101103000000
天创世缘,3室1厅,160,东南,16000,2001年建塔楼,朝阳,亚运村,101103000000
富力城D区,2室1厅,115,南,16000,2006年建板塔结合,朝阳,双井,101103000000
富力城C区,2室1厅,114,西南,16000,2005年建板塔结合,朝阳,双井,101103000000
富力城A区,3室2厅,130,西南,17000,2004年建板塔结合,朝阳,双井,101103000000
和乔丽致公寓,1室1厅,81,东,17000,2004年建塔楼,朝阳,CBD,BJ0004397957
观湖国际,2室1厅,127,东 西,17500,2007年建板楼,朝阳,朝阳公园,101103000000
星源国际,3室1厅,161,南,17500,2004年建板塔结合,朝阳,望京,101103000000
星源汇,1室1厅,77,西,17500,2009年建塔楼,朝阳,燕莎,101103000000
金星园,3室2厅,165,南 北,18000,2004年建板塔结合,朝阳,三元桥,101103000000
富力城A区,3室1厅,129,南,18000,2004年建板塔结合,朝阳,双井,101103000000
万科星园,3室2厅,138,西南 北,18000,2000年建塔楼,朝阳,奥林匹克公园,101103000000
常楹公元,4室2厅,195,南 西 北,18000,2013年建板楼,朝阳,管庄,101103000000
上东8号,2室1厅,179,东,18000,2011年建板塔结合,朝阳,酒仙桥,BJ0004393596
温莎大道,1室1厅,99,南,18000,2005年建塔楼,朝阳,CBD,101103000000
蓝堡国际公寓,2室1厅,114,南,18000,2004年建板塔结合,朝阳,CBD,BJ0004386614
首城国际,3室2厅,144,南,18000,2010年建板楼,朝阳,双井,101103000000
金地国际花园,2室1厅,112,东南,19000,2004年建板塔结合,朝阳,CBD,101103000000
富力城D区,3室1厅,146,南,19000,2005年建板塔结合,朝阳,双井,BJ0004398215
臻园,3室2厅,141,南 北,19000,2015年建板楼,朝阳,望京,101103000000
万科东第,3室2厅,163,西南 北,19000,2007年建板塔结合,朝阳,甜水园,101103000000
万科蓝山,3室2厅,168,南 北,19000,2012年建板楼,朝阳,大望路,101103000000
后现代城,1室0厅,176,南,19000,2004年建板塔结合,朝阳,大望路,101103000000
天畅园,3室1厅,169,西南,19000,2008年建塔楼,朝阳,奥林匹克公园,101103000000
金都心语,3房间1卫,202,东,20000,2010年建塔楼,朝阳,百子湾,101103000000
大西洋新城C区,3室2厅,151,西南 东北,20000,1999年建板楼,朝阳,望京,101103000000
乐成豪丽,3室1厅,147,南 北,20000,2008年建板塔结合,朝阳,大望路,101103000000
逸翠园,4室3厅,218,南 北,20000,2006年建板楼,朝阳,朝青,101103000000
金星园,4室2厅,174,西南 东北,20000,2005年建塔楼,朝阳,三元桥,101103000000
蓝堡国际公寓,3室2厅,181,西,21000,2003年建板塔结合,朝阳,CBD,BJ0004400605
阳光广场,2室1厅,183,东 南,21000,1996年建板塔结合,朝阳,亚运村,101103000000
中国第一商城,3室1厅,191,南,21000,1999年建塔楼,朝阳,红庙,101102000000
逸翠园,3室2厅,148,南 北,22000,2006年建板楼,朝阳,朝青,101103000000
华贸国际公寓,3室2厅,161,南,22000,2005年建塔楼,朝阳,红庙,BJ0004275504
华贸国际公寓,3室1厅,151,南 北,22000,2005年建塔楼,朝阳,红庙,101103000000
SOHO现代城,2室1厅,178,南,22000,2000年建塔楼,朝阳,CBD,101103000000
丽都水岸,3室2厅,180,南 北,23000,2005年建板塔结合,朝阳,酒仙桥,101103000000
恒大书院,5室2厅,177,南,23000,2017年建,朝阳,北苑,101103000000
昆泰嘉瑞中心,2房间1卫,123,东,23000,2017年建塔楼,朝阳,望京,101103000000
建外SOHO,2室1厅,130,东北,23000,2003年建塔楼,朝阳,CBD,101103000000
远洋新干线,1室1厅,132,东北,24000,2005年建塔楼,朝阳,燕莎,101103000000
太阳公元,3室2厅,161,南 北,24000,2012年建板楼,朝阳,太阳宫,101103000000
万科蓝山,3室1厅,166,南 北,24000,2012年建板楼,朝阳,大望路,101103000000
保利中央公园,4室1厅,147,南 北,25000,2012年建板楼,朝阳,望京,101103000000
富力城D区,3室2厅,155,南 北,25000,2006年建板塔结合,朝阳,双井,101103000000
住总香榭8号,3室1厅,139,南 北,25000,2017年建板楼,朝阳,大望路,101103000000
富力城D区,3室2厅,190,南 北,25500,2005年建板塔结合,朝阳,双井,101103000000
逸翠园,4室2厅,231,南 北,26000,2006年建板楼,朝阳,朝青,101102000000
泰禾北京院子,3室1厅,166,南 北,26000,2014年建板楼,朝阳,中央别墅区,101102000000
公园大道,3室2厅,172,西北,27000,2004年建板塔结合,朝阳,朝阳公园,101103000000
天鹅湾南区,4室2厅,216,南 西 北,27000,2008年建板楼,朝阳,朝青,101103000000
新城国际,2室1厅,137,东北,27000,2006年建塔楼,朝阳,东大桥,101103000000
天溪园,4室2厅,208,南 北,27000,2006年建,朝阳,奥林匹克公园,101103000000
乐成公馆,3室2厅,172,南 北,27000,2007年建板楼,朝阳,大望路,101103000000
棕榈泉国际公寓,3室2厅,160,南 北,28000,2003年建板塔结合,朝阳,朝阳公园,101103000000
公园1872,3室1厅,198,南 北,29000,2010年建板楼,朝阳,石佛营,101103000000
万达广场公寓,3室1厅,144,南,29000,2005年建塔楼,朝阳,CBD,101102000000
苹果社区北区,2室2厅,121,南,30000,2008年建板塔结合,朝阳,双井,101103000000
棕榈泉国际公寓,3室1厅,160,北,30000,2003年建板塔结合,朝阳,朝阳公园,101103000000
太阳公元,3室1厅,175,南,30000,2010年建板楼,朝阳,太阳宫,BJ0004394425
棕榈泉国际公寓,4室1厅,222,南,30000,2003年建板塔结合,朝阳,朝阳公园,BJ0004388372
太阳公元,3室2厅,175,南 北,30000,2010年建板楼,朝阳,太阳宫,101103000000
富力城D区,3室2厅,237,南 北,32000,2006年建板楼,朝阳,双井,101103000000
国奥村,3室2厅,199,南 北,32000,2007年建板楼,朝阳,奥林匹克公园,101103000000
SOHO现代城,3室2厅,180,东北,33000,2001年建塔楼,朝阳,CBD,101103000000
苹果社区北区,4室2厅,130,东北,33000,2008年建板塔结合,朝阳,双井,101103000000
华远九都汇,4室2厅,188,南 北,35000,2011年建板楼,朝阳,燕莎,101103000000
SOHO现代城,4室1厅,225,西北,38000,2001年建塔楼,朝阳,CBD,101103000000
山水文园五期,4室2厅,265,东南,38000,2013年建板楼,朝阳,十里河,101103000000
臻园,5室2厅,371,南 北,40000,2015年建板楼,朝阳,望京,101103000000
公园大道,3室1厅,251,南,40000,2006年建板塔结合,朝阳,朝阳公园,BJ0004388778
公园大道,3室2厅,251,南 北,40000,2006年建板塔结合,朝阳,朝阳公园,101103000000
石韵浩庭,4室1厅,248,南 西 北,41500,2004年建板楼,朝阳,大望路,101103000000
逸翠园,5室3厅,293,南 北,45000,2006年建板楼,朝阳,朝青,101101000000
第三置业,3室0厅,257,南,55000,2004年建板塔结合,朝阳,三元桥,101103000000
星河湾,5室2厅,508,南,100000,2006年建板楼,朝阳,朝青,BJ0004397175
佟馨家园,3室1厅,9,北,1430,板塔结合,大兴,大兴其它,BJ0004385580
佟馨家园,3室1厅,9,北,1460,2014年建板塔结合,大兴,大兴其它,BJ0004378524
长丰园二区,3室1厅,8,南,1530,2002年建板楼,大兴,科技园区,BJ0004402622
金地仰山,5室1厅,9,北,1530,2012年建板楼,大兴,高米店南,BJ0004338998
福苑小区,3室1厅,10,南,1530,1997年建板楼,大兴,大兴其它,BJ0004271377
保利春天里,4室1厅,8,北,1590,2014年建板楼,大兴,天宫院,BJ0003726582
保利春天里,4室1厅,8,北,1590,2014年建板楼,大兴,天宫院,BJ0003726582
兴都苑,4室1厅,9,西,1630,2003年建板塔结合,大兴,西红门,BJ0004403761
佟馨家园,3室1厅,14,南,1660,2014年建板塔结合,大兴,大兴其它,BJ0004403379
兴城丽源,3室1厅,10,北,1660,2009年建板塔结合,大兴,枣园,BJ0004124700
三合北巷,3室1厅,9,北,1660,2012年建板塔结合,大兴,黄村中,BJ0004385581
兴华园,3室1厅,8,北,1690,2000年建板楼,大兴,枣园,BJ0004405624
富强东里,3室1厅,5,西,1690,1993年建板楼,大兴,黄村中,BJ0004324610
佟馨家园,3室1厅,11,南,1690,2014年建板塔结合,大兴,大兴其它,BJ0004403378
三合北巷,3室1厅,15,南,1690,2012年建板塔结合,大兴,黄村中,BJ0004403181
时代龙和,4室1厅,11,北,1690,2007年建板塔结合,大兴,黄村中,BJ0004403191
兴海园,3室1厅,11,北,1690,2003年建板楼,大兴,大兴其它,BJ0004399366
恒大未来城,3室1厅,9,西,1690,随时看房,大兴,大兴其它,BJ0004397610
红木林,4室1厅,9,北,1690,2013年建板楼,大兴,枣园,BJ0004397948
保利春天里,4室1厅,8,北,1690,2014年建板楼,大兴,天宫院,BJ0003905790
保利春天里,4室1厅,8,北,1690,2014年建板楼,大兴,天宫院,BJ0003905790
福苑小区,3室1厅,13,东,1690,2000年建板楼,大兴,大兴其它,BJ0004366095
兴城丽源,3室1厅,10,北,1690,2009年建板塔结合,大兴,枣园,BJ0004393776
观音寺小区,3室1厅,9,南,1690,1999年建板楼,大兴,观音寺,BJ0004274889
观音寺小区,3室1厅,9,南,1690,1999年建板楼,大兴,观音寺,BJ0004274889
佟馨家园,3室1厅,11,南,1690,2014年建板塔结合,大兴,大兴其它,BJ0004382717
金地仰山,3室1厅,9,北,1730,2012年建板楼,大兴,高米店南,BJ0004271168
金惠园三里,3室1厅,11,北,1730,2007年建板楼,大兴,黄村北,BJ0004318545
翰林庭院,2室1厅,11,北,1730,2008年建板楼,大兴,黄村火车站,BJ0004398092
保利春天里,2室1厅,8,南,1730,板楼,大兴,天宫院,BJ0004394947
枣园北里,3室1厅,9,南,1760,1998年建板楼,大兴,枣园,BJ0004354641
枣园小区,4室1厅,9,北,1790,1999年建板楼,大兴,枣园,BJ0004403223
兴都苑,4室1厅,10,南,1790,2003年建板塔结合,大兴,西红门,BJ0004403760
兴海园,3室1厅,15,南,1790,2003年建板楼,大兴,大兴其它,BJ0004399367
兴海园,3室1厅,12,南,1790,2003年建板楼,大兴,大兴其它,BJ0004399365
宏盛家园,3室1厅,11,西,1790,2004年建板楼,大兴,西红门,BJ0004399237
郁花园一里,3室1厅,7,北,1790,1996年建板楼,大兴,郁花园,BJ0004395300
郁花园一里,3室1厅,7,北,1790,1996年建板楼,大兴,郁花园,BJ0004395300
郁花园一里,5室1厅,8,南,1790,1996年建板楼,大兴,郁花园,BJ0004395291
瑞康家园,4室1厅,15,南,1790,2004年建板塔结合,大兴,黄村中,BJ0004269887
云立方,3室1厅,10,南,1790,2014年建板楼,大兴,天宫院,BJ0003723641
瑞康家园,4室1厅,15,南,1790,2004年建板塔结合,大兴,黄村中,BJ0004269887
鸿坤理想城八期,3室1厅,10,东,1790,2014年建板楼,大兴,西红门,BJ0004385636
北京金科天籁城,3室1厅,8,北,1830,板楼,大兴,天宫院,BJ0004358401
鑫苑鑫都汇,3室1厅,6,北,1830,2015年建塔楼,大兴,天宫院,BJ0004392150
鑫苑鑫都汇,3室1厅,6,北,1830,2015年建塔楼,大兴,天宫院,BJ0004392150
兴政西里,3室1厅,12,北,1830,1996年建板楼,大兴,黄村中,BJ0004340230
郁花园一里,3室1厅,11,北,1830,2001年建板楼,大兴,郁花园,BJ0004269722
兴华园,3室1厅,9,南,1860,2000年建板楼,大兴,枣园,BJ0004405623
枣园小区,4室1厅,10,北,1860,1999年建板楼,大兴,枣园,BJ0004403222
金融街融汇,3室1厅,11,南,1860,2014年建板楼,大兴,天宫院,BJ0004322187
丽园C区,3室1厅,12,南,1860,2008年建板塔结合,大兴,枣园,BJ0004128547
丽园C区,3室1厅,12,南,1860,2008年建板塔结合,大兴,枣园,BJ0004128547
兴海园,2室1厅,13,南,1860,2002年建板楼,大兴,大兴其它,BJ0004394206
云立方,2室1厅,8,北,1860,2014年建板楼,大兴,天宫院,BJ0004324688
万科天地,4室1厅,11,南,1860,随时看房,大兴,大兴其它,BJ0004371728
天宫院小区,3室1厅,11,南,1860,2012年建板塔结合,大兴,天宫院,BJ0004389273
兴城丽源,3室1厅,9,北,1860,2009年建板塔结合,大兴,枣园,BJ0004385376
鑫苑鑫都汇,3室1厅,8,北,1860,2015年建塔楼,大兴,天宫院,BJ0004383310
黄村西里,3室1厅,16,南,1890,1984年建板楼,大兴,黄村中,BJ0004269627
兴海园,2室1厅,8,南,1890,2002年建板楼,大兴,大兴其它,BJ0004372192
枣园小区,4室1厅,11,南,1890,1999年建板楼,大兴,枣园,BJ0004403221
时代龙和,3室1厅,15,南,1890,2007年建板塔结合,大兴,黄村中,BJ0004403187
长丰园三区,3室1厅,13,南,1890,2003年建板楼,大兴,科技园区,BJ0004402782
住总万科橙,3室1厅,9,北,1890,2015年建板楼,大兴,天宫院,BJ0004398273
郁花园一里,4室2厅,8,南,1890,1996年建板楼,大兴,郁花园,BJ0004353634
金融街融汇,2室1厅,9,南,1890,2014年建板楼,大兴,天宫院,BJ0004324681
新里.西斯莱公馆,3室1厅,11,北,1930,2010年建板塔结合,大兴,高米店南,BJ0003228079
郁花园一里,3室1厅,8,南,1930,1996年建板楼,大兴,郁花园,BJ0004271994
郁花园一里,3室1厅,8,南,1930,1996年建板楼,大兴,郁花园,BJ0004271994
翰林庭院,4室1厅,15,南,1930,2008年建板楼,大兴,黄村火车站,BJ0004320217
兴城丽源,3室1厅,15,南,1960,2009年建板塔结合,大兴,枣园,BJ0004271620
兴城丽源,3室1厅,11,南,1960,2009年建板塔结合,大兴,枣园,BJ0004271618
兴城丽源,3室1厅,11,南,1960,2009年建板塔结合,大兴,枣园,BJ0004393775
兴城丽源,3室1厅,15,南,1960,2009年建板塔结合,大兴,枣园,BJ0004393777
幻星家园,3室1厅,13,北,1990,2000年建板塔结合,大兴,旧宫,BJ0004403986
南海家园一里,2室1厅,10,北,1990,随时看房,大兴,大兴其它,BJ0004399583
郁花园一里,5室1厅,11,南,1990,1996年建板楼,大兴,郁花园,BJ0004187516
郁花园一里,5室2厅,14,南,1990,2000年建板楼,大兴,郁花园,BJ0003218241
大城小镇,3室1厅,9,东,1990,2007年建板塔结合,大兴,旧宫,BJ0004396496
福苑小区,3室1厅,12,南,1990,2000年建板楼,大兴,大兴其它,BJ0004394587
佳和园小区,5室1厅,12,北,1990,2002年建板楼,大兴,旧宫,BJ0004356452
大城小镇,3室1厅,9,北,1990,2007年建板塔结合,大兴,旧宫,BJ0004350820
德林园,5室1厅,9,西,1990,2004年建板塔结合,大兴,旧宫,BJ0004391174
福苑小区,3室1厅,22,北,1990,2000年建板楼,大兴,大兴其它,BJ0004308725
福苑小区,3室1厅,22,北,1990,2000年建板楼,大兴,大兴其它,BJ0004308725
德林园,5室1厅,11,西,1990,2004年建板塔结合,大兴,旧宫,BJ0004391173
金地仰山,3室1厅,12,南,2030,2012年建板楼,大兴,高米店南,BJ0004271167
金地仰山,3室1厅,12,南,2030,2012年建板楼,大兴,高米店南,BJ0004271167
青岛嘉园,5室2厅,12,北,2030,2001年建板楼,大兴,黄村北,BJ0004397161
金融街融汇,2室1厅,7,南,2060,2014年建板楼,大兴,天宫院,BJ0004324576
小康家园,3室1厅,9,南,2060,1997年建板楼,大兴,亦庄,BJ0004147387
滨河西里北区,3室1厅,11,东,2090,1994年建板楼,大兴,枣园,BJ0004405755
郁花园三里,3室1厅,13,东,2090,2009年建板楼,大兴,郁花园,BJ0004375418
郁花园三里,3室1厅,13,东,2090,2009年建板楼,大兴,郁花园,BJ0004375418
宏盛家园,3室1厅,19,北,2090,2004年建板楼,大兴,西红门,BJ0004399238
